image_id,source_type,source_batch,dataset_name,dataset_slug,source_group,product_name,product_domain,label_lane,final_label_guess,batch_name,filename,relative_path,source_workspace,review_status,notes
manual_batch_000001,manual,biskuit_non_sellable_batch_01,dataset-scrape,dataset_scrape_manual,manual_batch,biskuit,biskuit_kukis,non_sellable,tidak_layak_jual,batch_01,biskuit_hangus_1.png,dataset-scrape/scraped/incoming/biskuit/non_sellable/batch_01/biskuit_hangus_1.png,dataset-scrape,incoming,Imported from manual incoming batch inventory.
manual_batch_000002,manual,biskuit_non_sellable_batch_01,dataset-scrape,dataset_scrape_manual,manual_batch,biskuit,biskuit_kukis,non_sellable,tidak_layak_jual,batch_01,biskuit_hangus_2.png,dataset-scrape/scraped/incoming/biskuit/non_sellable/batch_01/biskuit_hangus_2.png,dataset-scrape,incoming,Imported from manual incoming batch inventory.
manual_batch_000003,manual,biskuit_non_sellable_batch_01,dataset-scrape,dataset_scrape_manual,manual_batch,biskuit,biskuit_kukis,non_sellable,tidak_layak_jual,batch_01,biskuit_hangus_3.png,dataset-scrape/scraped/incoming/biskuit/non_sellable/batch_01/biskuit_hangus_3.png,dataset-scrape,incoming,Imported from manual incoming batch inventory.
manual_batch_000004,manual,biskuit_non_sellable_batch_01,dataset-scrape,dataset_scrape_manual,manual_batch,biskuit,biskuit_kukis,non_sellable,tidak_layak_jual,batch_01,biskuit_hangus_4.png,dataset-scrape/scraped/incoming/biskuit/non_sellable/batch_01/biskuit_hangus_4.png,dataset-scrape,incoming,Imported from manual incoming batch inventory.
manual_batch_000005,manual,biskuit_non_sellable_batch_01,dataset-scrape,dataset_scrape_manual,manual_batch,biskuit,biskuit_kukis,non_sellable,tidak_layak_jual,batch_01,biskuit_hangus_5.png,dataset-scrape/scraped/incoming/biskuit/non_sellable/batch_01/biskuit_hangus_5.png,dataset-scrape,incoming,Imported from manual incoming batch inventory.
manual_batch_000006,manual,biskuit_non_sellable_batch_01,dataset-scrape,dataset_scrape_manual,manual_batch,biskuit,biskuit_kukis,non_sellable,tidak_layak_jual,batch_01,biskuit_jamur_1.png,dataset-scrape/scraped/incoming/biskuit/non_sellable/batch_01/biskuit_jamur_1.png,dataset-scrape,incoming,Imported from manual incoming batch inventory.
manual_batch_000007,manual,biskuit_non_sellable_batch_01,dataset-scrape,dataset_scrape_manual,manual_batch,biskuit,biskuit_kukis,non_sellable,tidak_layak_jual,batch_01,biskuit_jamur_2.png,dataset-scrape/scraped/incoming/biskuit/non_sellable/batch_01/biskuit_jamur_2.png,dataset-scrape,incoming,Imported from manual incoming batch inventory.
manual_batch_000008,manual,biskuit_non_sellable_batch_01,dataset-scrape,dataset_scrape_manual,manual_batch,biskuit,biskuit_kukis,non_sellable,tidak_layak_jual,batch_01,biskuit_jamur_3.png,dataset-scrape/scraped/incoming/biskuit/non_sellable/batch_01/biskuit_jamur_3.png,dataset-scrape,incoming,Imported from manual incoming batch inventory.
manual_batch_000009,manual,biskuit_non_sellable_batch_01,dataset-scrape,dataset_scrape_manual,manual_batch,biskuit,biskuit_kukis,non_sellable,tidak_layak_jual,batch_01,biskuit_jamur_4.png,dataset-scrape/scraped/incoming/biskuit/non_sellable/batch_01/biskuit_jamur_4.png,dataset-scrape,incoming,Imported from manual incoming batch inventory.
manual_batch_000010,manual,biskuit_non_sellable_batch_01,dataset-scrape,dataset_scrape_manual,manual_batch,biskuit,biskuit_kukis,non_sellable,tidak_layak_jual,batch_01,biskuit_jamur_5.png,dataset-scrape/scraped/incoming/biskuit/non_sellable/batch_01/biskuit_jamur_5.png,dataset-scrape,incoming,Imported from manual incoming batch inventory.
