image_id,filename,relative_path,dataset_name,dataset_slug,source_type,product_domain,final_label,source_group,review_status,split
public_000001,industry_biscuit_000bb5a8a978.jpg,dataset/working/normalized/industry_biscuit/layak_jual/industry_biscuit_000bb5a8a978.jpg,IndustryBiscuit,industry_biscuit,public,biskuit_kukis,layak_jual,public_dataset,approved,
public_000002,industry_biscuit_001a02fe6313.jpg,dataset/working/normalized/industry_biscuit/layak_jual/industry_biscuit_001a02fe6313.jpg,IndustryBiscuit,industry_biscuit,public,biskuit_kukis,layak_jual,public_dataset,approved,
public_000003,industry_biscuit_003529fdb64a.jpg,dataset/working/normalized/industry_biscuit/layak_jual/industry_biscuit_003529fdb64a.jpg,IndustryBiscuit,industry_biscuit,public,biskuit_kukis,layak_jual,public_dataset,approved,
public_000004,industry_biscuit_00389eee72a4.jpg,dataset/working/normalized/industry_biscuit/layak_jual/industry_biscuit_00389eee72a4.jpg,IndustryBiscuit,industry_biscuit,public,biskuit_kukis,layak_jual,public_dataset,approved,
public_000005,industry_biscuit_0082d3291b1e.jpg,dataset/working/normalized/industry_biscuit/layak_jual/industry_biscuit_0082d3291b1e.jpg,IndustryBiscuit,industry_biscuit,public,biskuit_kukis,layak_jual,public_dataset,approved,
public_000006,industry_biscuit_00ce3c581117.jpg,dataset/working/normalized/industry_biscuit/layak_jual/industry_biscuit_00ce3c581117.jpg,IndustryBiscuit,industry_biscuit,public,biskuit_kukis,layak_jual,public_dataset,approved,
public_000007,industry_biscuit_00d1d0390923.jpg,dataset/working/normalized/industry_biscuit/layak_jual/industry_biscuit_00d1d0390923.jpg,IndustryBiscuit,industry_biscuit,public,biskuit_kukis,layak_jual,public_dataset,approved,
public_000008,industry_biscuit_018b4eb675d8.jpg,dataset/working/normalized/industry_biscuit/layak_jual/industry_biscuit_018b4eb675d8.jpg,IndustryBiscuit,industry_biscuit,public,biskuit_kukis,layak_jual,public_dataset,approved,
public_000009,industry_biscuit_021d33e749a0.jpg,dataset/working/normalized/industry_biscuit/layak_jual/industry_biscuit_021d33e749a0.jpg,IndustryBiscuit,industry_biscuit,public,biskuit_kukis,layak_jual,public_dataset,approved,
public_000010,industry_biscuit_021db9e0d578.jpg,dataset/working/normalized/industry_biscuit/layak_jual/industry_biscuit_021db9e0d578.jpg,IndustryBiscuit,industry_biscuit,public,biskuit_kukis,layak_jual,public_dataset,approved,
public_000011,industry_biscuit_023d9e1e6fc4.jpg,dataset/working/normalized/industry_biscuit/layak_jual/industry_biscuit_023d9e1e6fc4.jpg,IndustryBiscuit,industry_biscuit,public,biskuit_kukis,layak_jual,public_dataset,approved,
public_000012,industry_biscuit_02546cd5843d.jpg,dataset/working/normalized/industry_biscuit/layak_jual/industry_biscuit_02546cd5843d.jpg,IndustryBiscuit,industry_biscuit,public,biskuit_kukis,layak_jual,public_dataset,approved,
